date	piezo	pluie	etp	debit
01/05/2004	9999	-2	1.3	0.53
02/05/2004	9999	-2	3.7	0.46
03/05/2004	9999	-2	2.4	0.44
04/05/2004	9999	-2	1.5	0.51
05/05/2004	9999	-2	1.9	0.7
06/05/2004	9999	-2	1.9	0.97
07/05/2004	9999	-2	2.2	0.62
08/05/2004	9999	-2	3.2	0.55
09/05/2004	9999	-2	2.1	0.53
10/05/2004	9999	-2	2.8	0.51
11/05/2004	9999	-2	3	0.51
12/05/2004	9999	-2	1.8	0.5
13/05/2004	9999	-2	2	0.49
14/05/2004	9999	-2	2.6	0.48
15/05/2004	9999	-2	3.5	0.47
16/05/2004	9999	-2	4.4	0.45
17/05/2004	9999	-2	4.7	0.44
18/05/2004	9999	-2	5.1	0.43
19/05/2004	9999	-2	5.2	0.41
20/05/2004	9999	-2	4.6	0.41
21/05/2004	9999	-2	3.3	0.4
22/05/2004	9999	-2	4	0.39
23/05/2004	9999	-2	3.9	0.37
24/05/2004	9999	-2	4.1	0.37
25/05/2004	9999	-2	5	0.35
26/05/2004	9999	-2	4.5	0.32
27/05/2004	9999	-2	4.5	0.3
28/05/2004	9999	-2	3	0.3
29/05/2004	9999	-2	2.5	0.33
30/05/2004	9999	-2	2.9	0.31
31/05/2004	9999	-2	1.1	0.31
01/06/2004	9999	-2	1.4	0.35
02/06/2004	9999	-2	4.5	0.29
03/06/2004	9999	-2	4.3	0.26
04/06/2004	9999	-2	3.2	0.25
05/06/2004	9999	-2	4.4	0.25
06/06/2004	9999	-2	5	0.23
07/06/2004	9999	-2	6	0.2
08/06/2004	9999	-2	4.1	0.16
09/06/2004	9999	-2	4.1	0.15
10/06/2004	9999	-2	3.8	0.15
11/06/2004	9999	-2	3.6	0.14
12/06/2004	9999	-2	3.5	0.14
13/06/2004	9999	-2	4.7	0.12
14/06/2004	9999	-2	4.4	0.12
15/06/2004	9999	-2	5.3	0.12
16/06/2004	9999	-2	5.2	0.12
17/06/2004	9999	-2	4.7	0.11
18/06/2004	9999	-2	2.6	0.11
19/06/2004	9999	-2	4.4	0.11
20/06/2004	9999	-2	2.5	0.1
21/06/2004	9999	-2	2.5	0.1
22/06/2004	9999	-2	2.1	0.11
23/06/2004	9999	-2	4.4	0.17
24/06/2004	9999	-2	3.3	0.13
25/06/2004	9999	-2	3.8	0.12
26/06/2004	9999	-2	2.4	0.11
27/06/2004	9999	-2	3.5	0.11
28/06/2004	9999	-2	4.1	0.1
29/06/2004	9999	-2	4.5	0.1
30/06/2004	9999	-2	4	0.09
01/07/2004	9999	-2	3.6	0.1
02/07/2004	9999	-2	3.7	0.1
03/07/2004	9999	-2	3.8	0.09
04/07/2004	9999	-2	2.6	0.16
05/07/2004	9999	-2	3.7	0.14
06/07/2004	9999	-2	3.9	0.13
07/07/2004	9999	-2	0.5	0.62
08/07/2004	9999	-2	1	0.71
09/07/2004	9999	-2	2.9	0.36
10/07/2004	9999	-2	2.5	0.28
11/07/2004	9999	-2	1.6	0.26
12/07/2004	9999	-2	3.8	0.25
13/07/2004	9999	-2	1.9	0.22
14/07/2004	9999	-2	2	0.21
15/07/2004	9999	-2	2.5	0.21
16/07/2004	9999	-2	3.9	0.2
17/07/2004	9999	-2	2.8	0.2
18/07/2004	9999	-2	3.9	0.28
19/07/2004	9999	-2	3.7	0.21
20/07/2004	9999	-2	3.1	0.18
21/07/2004	9999	-2	2.6	0.17
22/07/2004	9999	-2	3.5	0.16
23/07/2004	9999	-2	4.7	0.12
24/07/2004	9999	-2	4.8	0.1
25/07/2004	9999	-2	2.5	0.09
26/07/2004	9999	-2	3	0.1
27/07/2004	9999	-2	2.1	0.1
28/07/2004	9999	-2	4.4	0.1
29/07/2004	9999	-2	2.9	0.09
30/07/2004	9999	-2	4.1	0.09
31/07/2004	9999	-2	4.7	0.08
01/08/2004	9999	-2	4.4	0.08
02/08/2004	9999	-2	4.8	0.08
03/08/2004	9999	-2	3.8	0.07
04/08/2004	9999	-2	1.7	0.06
05/08/2004	9999	-2	3.5	0.07
06/08/2004	9999	-2	3.4	0.06
07/08/2004	9999	-2	4.3	0.06
08/08/2004	9999	-2	3.5	0.05
09/08/2004	9999	-2	3.2	0.05
10/08/2004	9999	-2	3.3	0.05
11/08/2004	9999	-2	1.3	0.08
12/08/2004	9999	-2	2.5	0.14
13/08/2004	9999	-2	3.7	0.1
14/08/2004	9999	-2	2.5	0.08
15/08/2004	9999	-2	2.1	0.15
16/08/2004	9999	-2	2	0.6
17/08/2004	9999	-2	1.9	0.26
18/08/2004	9999	-2	3.3	0.21
19/08/2004	9999	-2	3.2	0.18
20/08/2004	9999	-2	2.5	0.21
21/08/2004	9999	-2	2.6	0.15
22/08/2004	9999	-2	2.7	0.13
23/08/2004	9999	-2	3	0.13
24/08/2004	9999	-2	2.5	0.13
25/08/2004	9999	-2	2.2	0.19
26/08/2004	9999	-2	2.9	0.39
27/08/2004	9999	-2	0.9	0.24
28/08/2004	9999	-2	2.7	0.18
29/08/2004	9999	-2	2.1	0.15
30/08/2004	9999	-2	2.8	0.12
31/08/2004	9999	-2	2.6	0.1
01/09/2004	9999	-2	2.5	0.1
02/09/2004	9999	-2	3.1	0.09
03/09/2004	9999	-2	3	0.08
04/09/2004	9999	-2	3.1	0.08
05/09/2004	9999	-2	3.3	0.08
06/09/2004	9999	-2	3.3	0.08
07/09/2004	9999	-2	3	0.08
08/09/2004	9999	-2	4	0.08
09/09/2004	9999	-2	3.4	0.07
10/09/2004	9999	-2	2	0.08
11/09/2004	9999	-2	3.2	0.1
12/09/2004	9999	-2	2.4	0.08
13/09/2004	9999	-2	2.3	0.11
14/09/2004	9999	-2	2.1	0.12
15/09/2004	9999	-2	2.4	0.1
16/09/2004	9999	-2	2.1	0.09
17/09/2004	9999	-2	2.1	0.09
18/09/2004	9999	-2	2	0.09
19/09/2004	9999	-2	1.9	0.09
20/09/2004	9999	-2	1.2	0.08
21/09/2004	9999	-2	2.2	0.08
22/09/2004	9999	-2	1	0.08
23/09/2004	9999	-2	0.9	0.1
24/09/2004	9999	-2	2.1	0.11
25/09/2004	9999	-2	1.4	0.1
26/09/2004	9999	-2	0.6	0.09
27/09/2004	9999	-2	1.1	0.08
28/09/2004	9999	-2	1.9	0.08
29/09/2004	9999	-2	1.4	0.07
30/09/2004	9999	-2	1.4	0.07
01/10/2004	9999	-2	1	0.05
02/10/2004	9999	-2	1.6	0.06
03/10/2004	9999	-2	1.5	0.05
04/10/2004	9999	-2	0.9	0.07
05/10/2004	9999	-2	1.6	0.1
06/10/2004	9999	-2	1.6	0.08
07/10/2004	9999	-2	1.6	0.07
08/10/2004	9999	-2	1.4	0.07
09/10/2004	9999	-2	0.3	0.24
10/10/2004	9999	-2	0.5	0.44
11/10/2004	9999	-2	0.4	0.31
12/10/2004	9999	-2	0.5	0.27
13/10/2004	9999	-2	0.8	0.25
14/10/2004	9999	-2	1.2	0.45
15/10/2004	9999	-2	1	0.41
16/10/2004	9999	-2	0.8	0.3
17/10/2004	9999	-2	1.3	0.37
18/10/2004	9999	-2	1.4	0.22
19/10/2004	9999	-2	1	0.2
20/10/2004	9999	-2	1	0.38
21/10/2004	9999	-2	1	0.32
22/10/2004	9999	-2	1.1	0.2
23/10/2004	9999	-2	2.3	0.34
24/10/2004	9999	-2	1.6	0.26
25/10/2004	9999	-2	1.2	0.22
26/10/2004	9999	-2	1	0.2
27/10/2004	9999	-2	0.6	0.26
28/10/2004	9999	-2	0.8	0.36
29/10/2004	9999	-2	0.8	0.57
30/10/2004	9999	-2	0.6	0.5
31/10/2004	9999	-2	0.7	0.4
01/11/2004	9999	2.2	1.2	0.36
02/11/2004	9999	0	0.7	0.35
03/11/2004	9999	0	0.2	0.34
04/11/2004	9999	0.2	0.7	0.32
05/11/2004	9999	0	1.2	0.3
06/11/2004	9999	0.2	0.7	0.28
07/11/2004	9999	1.6	0.3	0.28
08/11/2004	9999	0.4	0.5	0.3
09/11/2004	9999	4.2	1.1	0.3
10/11/2004	9999	16.2	0.6	0.48
11/11/2004	9999	0	1	0.7
12/11/2004	9999	1.4	0.2	0.43
13/11/2004	9999	0	1.2	0.38
14/11/2004	9999	0	1	0.34
15/11/2004	9999	0	0.5	0.31
16/11/2004	9999	1.8	0.3	0.31
17/11/2004	9999	0.2	0.4	0.35
18/11/2004	9999	5.6	0.6	0.34
19/11/2004	9999	0	0.8	0.4
20/11/2004	9999	1	0.3	0.34
21/11/2004	9999	0.4	0.6	0.33
22/11/2004	9999	0.6	0.5	0.3
23/11/2004	9999	0.2	0.7	0.3
24/11/2004	9999	0	0.4	0.3
25/11/2004	9999	0	0.8	0.29
26/11/2004	9999	2	0.2	0.29
27/11/2004	9999	0.4	0.3	0.29
28/11/2004	9999	2.4	0.4	0.3
29/11/2004	9999	0	0.5	0.31
30/11/2004	9999	0	1.1	0.29
01/12/2004	9999	0	0.6	0.28
02/12/2004	9999	0.2	0.5	0.26
03/12/2004	9999	0	0.7	0.25
04/12/2004	9999	0.8	0.2	0.24
05/12/2004	9999	0	0.5	0.24
06/12/2004	9999	0	0.6	0.24
07/12/2004	9999	0	0.4	0.23
08/12/2004	9999	0	0.4	0.23
09/12/2004	9999	0	0.2	0.23
10/12/2004	9999	0	0	0.23
11/12/2004	9999	0	0.5	0.22
12/12/2004	9999	0	0.2	0.22
13/12/2004	9999	0.4	0.2	0.21
14/12/2004	9999	0	0	0.21
15/12/2004	9999	1	0	0.21
16/12/2004	9999	6.6	0.4	0.23
17/12/2004	9999	8.2	1.4	0.35
18/12/2004	9999	10.2	0	0.32
19/12/2004	9999	2.4	0.5	0.56
20/12/2004	9999	1.2	0.5	0.44
21/12/2004	9999	1.4	0.3	0.45
22/12/2004	9999	6.6	0	0.39
23/12/2004	9999	3.4	0.3	0.46
24/12/2004	9999	10.4	0.6	0.42
25/12/2004	9999	3.2	0.5	0.54
26/12/2004	9999	3.2	0.4	0.46
27/12/2004	9999	7	0.6	0.43
28/12/2004	9999	2	0.7	0.53
29/12/2004	9999	1	0.1	0.45
30/12/2004	9999	1	0	0.42
31/12/2004	9999	3.4	0.1	0.41
01/01/2005	9999	2	0.5	0.44
02/01/2005	9999	1.2	0.7	0.44
03/01/2005	9999	0	0.6	0.4
04/01/2005	9999	2.4	0.4	0.39
05/01/2005	9999	1.6	0.1	0.4
06/01/2005	9999	1.2	0.1	0.39
07/01/2005	9999	5.6	0.3	0.4
08/01/2005	9999	1.8	1	0.43
09/01/2005	9999	5	0	0.41
10/01/2005	9999	7.2	0.3	0.49
11/01/2005	9999	8	0.1	0.53
12/01/2005	9999	0.4	0.7	0.58
13/01/2005	9999	0	0.7	0.47
14/01/2005	9999	0.6	0.1	0.44
15/01/2005	9999	0	0.9	0.43
16/01/2005	9999	0	0.1	0.41
17/01/2005	9999	10.4	0.4	0.42
18/01/2005	9999	5	0.4	0.58
19/01/2005	9999	4.6	0.1	0.62
20/01/2005	9999	1.8	0.4	0.59
21/01/2005	9999	2.4	0.5	0.56
22/01/2005	9999	6.6	0.2	0.62
23/01/2005	9999	0	0.8	0.73
24/01/2005	9999	0.4	1.4	0.55
25/01/2005	9999	2.4	0.6	0.57
26/01/2005	9999	0.8	0.7	0.7
27/01/2005	9999	1.4	0.4	0.67
28/01/2005	9999	1.6	0.4	0.74
29/01/2005	9999	0.2	0.7	0.61
30/01/2005	9999	0	0.3	0.53
31/01/2005	9999	0	0.7	0.49
01/02/2005	9999	0.2	0.3	0.48
02/02/2005	9999	0.2	0.6	0.45
03/02/2005	9999	0	1.1	0.41
04/02/2005	9999	0	0.9	0.41
05/02/2005	9999	10.8	0.4	0.42
06/02/2005	9999	6.4	0.2	0.67
07/02/2005	9999	0	0.2	0.55
08/02/2005	9999	0	0.7	0.46
09/02/2005	9999	0	0.5	0.42
10/02/2005	9999	5.6	0.5	0.41
11/02/2005	9999	4	0.1	0.51
12/02/2005	9999	2.6	0.7	0.59
13/02/2005	9999	6	1.1	0.56
14/02/2005	9999	0.4	1.3	0.55
15/02/2005	9999	0.4	1.3	0.49
16/02/2005	242.84	0	1.4	0.45
17/02/2005	242.86	1	0.4	0.42
18/02/2005	242.87	0.4	0.5	0.43
19/02/2005	242.87	1	1.6	0.42
20/02/2005	242.85	1	0.9	0.41
21/02/2005	242.83	3	0.6	0.43
22/02/2005	242.81	3	0.7	0.44
23/02/2005	242.81	2	0.4	0.44
24/02/2005	242.78	5	0.5	0.46
25/02/2005	242.75	0	0.4	0.48
26/02/2005	242.68	1	0.8	0.45
27/02/2005	242.61	0	1.4	0.45
28/02/2005	242.54	0	1.2	0.42
01/03/2005	242.53	2.2	0.8	0.4
02/03/2005	242.5	4.4	1	0.58
03/03/2005	242.36	1	1.2	0.49
04/03/2005	242.24	2	0.7	0.47
05/03/2005	242.13	3	1.4	0.48
06/03/2005	241.98	0	1.1	0.49
07/03/2005	241.85	0	1.2	0.44
08/03/2005	241.76	0	0.9	0.41
09/03/2005	241.67	0	1.2	0.4
10/03/2005	241.6	0	1.3	0.39
11/03/2005	241.56	0	1.1	0.34
12/03/2005	241.53	0	1.9	0.28
13/03/2005	241.48	0	1.4	0.31
14/03/2005	241.41	0	1.8	0.34
15/03/2005	241.34	0	1.4	0.32
16/03/2005	241.25	1	2.1	0.31
17/03/2005	241.16	0	2	0.31
18/03/2005	241.07	0.2	2.3	0.3
19/03/2005	241	0	2.7	0.3
20/03/2005	240.94	0	4	0.29
21/03/2005	240.9	7.2	2.6	0.29
22/03/2005	240.81	1.8	1.4	0.32
23/03/2005	240.71	0	2.3	0.32
24/03/2005	240.63	0.4	1.7	0.29
25/03/2005	240.54	0	2.2	0.28
26/03/2005	240.48	0	2.3	0.28
27/03/2005	240.41	0.4	1.5	0.29
28/03/2005	240.34	5.4	1.2	0.41
29/03/2005	240.28	2.6	0.7	0.32
30/03/2005	240.19	0	1.6	0.37
31/03/2005	240.1	0	2.1	0.31
01/04/2005	240.03	0	2.3	0.28
02/04/2005	239.97	0	2.6	0.27
03/04/2005	239.9	0.2	1.2	0.25
04/04/2005	239.83	4.2	0.5	0.25
05/04/2005	239.76	0	1.5	0.25
06/04/2005	239.72	2.8	1.3	0.24
07/04/2005	239.68	7.4	2.1	0.24
08/04/2005	239.63	4.4	1.6	0.38
09/04/2005	239.56	0.4	2.5	0.36
10/04/2005	239.51	0	1.9	0.28
11/04/2005	239.46	0	2.8	0.25
12/04/2005	239.42	0.2	2.2	0.23
13/04/2005	239.41	12.6	1.1	0.24
14/04/2005	239.4	2.2	2.2	0.37
15/04/2005	239.37	1.8	1.6	0.38
16/04/2005	239.32	0	1.6	0.29
17/04/2005	239.29	8.6	0.3	0.26
18/04/2005	239.28	6.8	2.3	0.32
19/04/2005	239.27	6.4	1.6	0.33
20/04/2005	239.23	1	2.4	0.34
21/04/2005	239.22	0.8	2.9	0.28
22/04/2005	239.28	14.4	0.4	0.29
23/04/2005	239.36	3.8	1.1	0.36
24/04/2005	239.44	7.2	2	0.36
25/04/2005	239.54	0.6	1.5	0.37
26/04/2005	239.66	9.6	1.7	0.35
27/04/2005	239.79	0	2	0.36
28/04/2005	239.95	4.6	1.4	0.33
29/04/2005	240.1	0.2	1.1	0.3
30/04/2005	240.29	0.2	3.9	0.3
01/05/2005	240.42	6	3.7	0.28
02/05/2005	240.53	5.2	3.5	0.27
03/05/2005	240.6	8.2	2	0.27
04/05/2005	240.64	0.2	1.6	0.27
05/05/2005	240.69	0	3	0.27
06/05/2005	240.77	0.4	1.8	0.26
07/05/2005	240.85	0.2	3	0.25
08/05/2005	240.92	0	3.1	0.24
09/05/2005	241.07	0	3.4	0.22
10/05/2005	241.25	0	2.8	0.21
11/05/2005	241.38	0	3.2	0.2
12/05/2005	241.47	1.4	2.3	0.18
13/05/2005	241.51	9.8	1.5	0.17
14/05/2005	241.5	2.2	2.7	0.18
15/05/2005	241.43	0.4	2	0.2
16/05/2005	241.35	0	2.7	0.2
17/05/2005	241.24	0	2.1	0.19
18/05/2005	241.14	1.8	2.7	0.19
19/05/2005	241.05	10	0.5	0.18
20/05/2005	240.97	2.4	2.3	0.21
21/05/2005	240.9	3.6	3.1	0.22
22/05/2005	240.8	3.8	2.8	0.22
23/05/2005	240.69	0.4	3	0.22
24/05/2005	240.6	0	1.8	0.21
25/05/2005	240.51	0.2	5.1	0.21
26/05/2005	240.43	0	4.2	0.2
27/05/2005	240.39	0	5.4	0.19
28/05/2005	240.32	0	4.8	0.17
29/05/2005	240.25	0	1.6	0.16
30/05/2005	240.17	0.2	3.2	0.15
31/05/2005	240.1	0	2.2	0.15
01/06/2005	240.04	0.2	1.6	0.14
02/06/2005	239.99	0	4	0.14
03/06/2005	239.94	0.4	3.4	0.14
04/06/2005	239.87	0	3.3	0.13
05/06/2005	239.8	5.8	1.2	0.13
06/06/2005	239.74	1	2.8	0.14
07/06/2005	239.66	0.2	4	0.13
08/06/2005	239.59	0.2	4.2	0.13
09/06/2005	239.54	0	4.8	0.13
10/06/2005	239.49	0	4.4	0.13
11/06/2005	239.44	0	4.5	0.13
12/06/2005	239.38	0	4.4	0.12
13/06/2005	239.33	0.2	4.6	0.12
14/06/2005	239.27	11.8	3	0.11
15/06/2005	239.21	1.6	3.5	0.11
16/06/2005	239.04	0.2	1.2	0.12
17/06/2005	238.94	0.2	2.7	0.12
18/06/2005	238.93	0	5.5	0.12
19/06/2005	238.89	0.2	6.5	0.12
20/06/2005	238.82	0	4.2	0.11
21/06/2005	238.76	0	5.3	0.11
22/06/2005	238.72	0	5.4	0.1
23/06/2005	238.7	0	6	0.1
24/06/2005	238.67	0.2	4.6	0.09
25/06/2005	238.59	0	2.5	0.09
26/06/2005	238.55	0	2.8	0.09
27/06/2005	238.53	0.4	4.3	0.09
28/06/2005	238.52	0.4	4.4	0.09
29/06/2005	238.48	4.6	3.7	0.09
30/06/2005	238.44	5.2	2.9	0.09
01/07/2005	238.35	1.2	0.7	0.09
02/07/2005	238.32	0.2	4.1	0.08
03/07/2005	238.31	0.2	3.8	0.07
04/07/2005	238.28	0.6	4	0.07
05/07/2005	238.26	6.6	0.8	0.07
06/07/2005	238.21	0.8	3.4	0.07
07/07/2005	238.17	1.2	2.3	0.08
08/07/2005	238.14	0.2	3.8	0.07
09/07/2005	238.11	0.2	3.6	0.07
10/07/2005	238.06	0	4.2	0.06
11/07/2005	238.03	0	5.8	0.06
12/07/2005	238.02	0	4.9	0.05
13/07/2005	238.01	0	5.7	0.05
14/07/2005	238	0	6.2	0.05
15/07/2005	237.97	0.2	6.6	0.05
16/07/2005	237.93	0	5.3	0.05
17/07/2005	237.92	0	5.1	0.05
18/07/2005	237.89	0	3.3	0.05
19/07/2005	237.82	0	3.6	0.04
20/07/2005	237.8	0	4.4	0.04
21/07/2005	237.8	0	4.4	0.04
22/07/2005	237.81	3	4.7	0.04
23/07/2005	237.81	17	1.4	0.04
24/07/2005	237.79	2.8	3.6	0.04
25/07/2005	237.72	9.2	2.6	0.04
26/07/2005	237.68	34	0.5	0.2
27/07/2005	237.65	3.8	2.6	0.24
28/07/2005	237.62	2.6	2.8	0.14
29/07/2005	237.56	0.2	3.5	0.1
30/07/2005	237.56	1.4	3	0.08
31/07/2005	237.54	0.2	2.5	0.06
01/08/2005	237.52	0.4	3.4	0.05
02/08/2005	237.48	0	3.7	0.04
03/08/2005	237.44	0.6	3.5	0.04
04/08/2005	237.42	0.2	4.1	0.04
05/08/2005	237.45	0.4	1.7	0.05
06/08/2005	237.4	0.8	4	0.04
07/08/2005	237.39	1	3	0.04
08/08/2005	237.35	0	4.4	0.04
09/08/2005	237.33	0	4.2	0.04
10/08/2005	237.29	0.2	4.4	0.03
11/08/2005	237.25	0	3.7	0.03
12/08/2005	237.23	0.4	3.4	0.03
13/08/2005	237.18	1.6	1.9	0.03
14/08/2005	237.16	0.2	3.8	0.03
15/08/2005	237.12	0.2	3.5	0.03
16/08/2005	237.13	0.2	3.8	0.03
17/08/2005	237.12	0	4.2	0.03
18/08/2005	237.09	0.4	3.9	0.03
19/08/2005	237.01	4.2	4.2	0.03
20/08/2005	236.98	0.4	3	0.03
21/08/2005	236.96	1.4	4.2	0.03
22/08/2005	236.98	1.2	1.4	0.03
23/08/2005	236.93	0.2	3.5	0.03
24/08/2005	236.95	30	0.7	0.04
25/08/2005	236.92	0	3.3	0.1
26/08/2005	236.83	0	2.6	0.05
27/08/2005	236.83	0.4	1.7	0.05
28/08/2005	236.78	0	2.9	0.04
29/08/2005	236.77	0	4.3	0.04
30/08/2005	236.76	0	4.5	0.03
31/08/2005	236.79	0	3.3	0.03
01/09/2005	236.71	1.4	3.7	0.03
02/09/2005	236.65	0.2	2.9	0.03
03/09/2005	236.66	0	4.6	0.03
04/09/2005	236.67	0.2	2.6	0.03
05/09/2005	236.67	0.8	2.9	0.03
06/09/2005	236.67	0.4	2.5	0.03
07/09/2005	236.57	0.4	3.3	0.03
08/09/2005	236.56	0.2	2.9	0.03
09/09/2005	236.57	11.2	1.1	0.03
10/09/2005	236.54	0.4	2.5	0.05
11/09/2005	236.49	0.6	2.6	0.04
12/09/2005	236.45	0	1.1	0.04
13/09/2005	236.42	0.2	1.9	0.04
14/09/2005	236.42	0.2	2.7	0.03
15/09/2005	236.45	4.2	2.7	0.03
16/09/2005	236.45	1.2	1.3	0.05
17/09/2005	236.36	0	2.6	0.04
18/09/2005	236.35	0	2.2	0.04
19/09/2005	236.36	0.2	2.3	0.03
20/09/2005	236.34	0.4	2.1	0.03
21/09/2005	236.35	0.2	2.4	0.03
22/09/2005	236.34	0	2.7	0.03
23/09/2005	236.33	1.6	1	0.03
24/09/2005	236.28	3	2	0.03
25/09/2005	236.28	0.4	2.3	0.03
26/09/2005	236.22	2.4	1.7	0.03
27/09/2005	236.21	1.8	2.1	0.03
28/09/2005	236.17	1.2	1.2	0.03
29/09/2005	236.15	0	2.1	0.03
30/09/2005	236.17	5.2	0.3	0.03
01/10/2005	236.17	2.2	1.7	0.04
02/10/2005	236.11	0.2	1.7	0.04
03/10/2005	236.1	0	1.3	0.04
04/10/2005	236.12	0	1.3	0.03
05/10/2005	236.13	0.2	0.3	0.03
06/10/2005	236.12	0.2	1.4	0.03
07/10/2005	236.14	0.2	1.7	0.03
08/10/2005	236.13	0.2	1.6	0.03
09/10/2005	236.07	0.2	1.4	0.03
10/10/2005	236.11	0.2	1.8	0.03
11/10/2005	236.11	2.2	0.5	0.03
12/10/2005	236.07	11	0.4	0.03
13/10/2005	235.98	0.2	0.5	0.14
14/10/2005	235.97	0.2	1.4	0.09
15/10/2005	235.99	0.2	1.6	0.07
16/10/2005	235.99	5.2	0.5	0.08
17/10/2005	235.98	0.4	1.5	0.08
18/10/2005	236	4	0.5	0.07
19/10/2005	235.99	4	1.3	0.09
